id_reporte,id_sensor,num_reporte,id_cruce,direccion,latitud,longitud,nombre_comuna,limite_velocidad,velocidad,exceso_velocidad
41,S-413,1,413,CR 65  CL 48,6.25319987,-75.58242679,LAURELES,50,80,True
42,S-413,2,413,CR 65  CL 48,6.25319987,-75.58242679,LAURELES,50,36,False
43,S-413,3,413,CR 65  CL 48,6.25319987,-75.58242679,LAURELES,50,50,False
44,S-413,4,413,CR 65  CL 48,6.25319987,-75.58242679,LAURELES,50,38,False
45,S-413,5,413,CR 65  CL 48,6.25319987,-75.58242679,LAURELES,50,68,True
46,S-413,6,413,CR 65  CL 48,6.25319987,-75.58242679,LAURELES,50,47,False
47,S-413,7,413,CR 65  CL 48,6.25319987,-75.58242679,LAURELES,50,33,False
48,S-413,8,413,CR 65  CL 48,6.25319987,-75.58242679,LAURELES,50,54,True
49,S-413,9,413,CR 65  CL 48,6.25319987,-75.58242679,LAURELES,50,43,False
50,S-413,10,413,CR 65  CL 48,6.25319987,-75.58242679,LAURELES,50,79,True
51,S-414,1,414,CR 65  CL 49 B,6.25551713,-75.5813021,LAURELES,50,38,False
52,S-414,2,414,CR 65  CL 49 B,6.25551713,-75.5813021,LAURELES,50,55,True
53,S-414,3,414,CR 65  CL 49 B,6.25551713,-75.5813021,LAURELES,50,31,False
54,S-414,4,414,CR 65  CL 49 B,6.25551713,-75.5813021,LAURELES,50,49,False
55,S-414,5,414,CR 65  CL 49 B,6.25551713,-75.5813021,LAURELES,50,57,True
56,S-414,6,414,CR 65  CL 49 B,6.25551713,-75.5813021,LAURELES,50,76,True
57,S-414,7,414,CR 65  CL 49 B,6.25551713,-75.5813021,LAURELES,50,36,False
58,S-414,8,414,CR 65  CL 49 B,6.25551713,-75.5813021,LAURELES,50,73,True
59,S-414,9,414,CR 65  CL 49 B,6.25551713,-75.5813021,LAURELES,50,37,False
60,S-414,10,414,CR 65  CL 49 B,6.25551713,-75.5813021,LAURELES,50,76,True
61,S-415,1,415,CR 65  CL 5,6.21280077,-75.58674841,,50,64,True
62,S-415,2,415,CR 65  CL 5,6.21280077,-75.58674841,,50,43,False
63,S-415,3,415,CR 65  CL 5,6.21280077,-75.58674841,,50,46,False
64,S-415,4,415,CR 65  CL 5,6.21280077,-75.58674841,,50,65,True
65,S-415,5,415,CR 65  CL 5,6.21280077,-75.58674841,,50,79,True
66,S-415,6,415,CR 65  CL 5,6.21280077,-75.58674841,,50,69,True
67,S-415,7,415,CR 65  CL 5,6.21280077,-75.58674841,,50,33,False
68,S-415,8,415,CR 65  CL 5,6.21280077,-75.58674841,,50,31,False
69,S-415,9,415,CR 65  CL 5,6.21280077,-75.58674841,,50,35,False
70,S-415,10,415,CR 65  CL 5,6.21280077,-75.58674841,,50,71,True
71,S-416,1,416,CR 65  CL 50,6.25604422,-75.5810902,LAURELES,50,33,False
72,S-416,2,416,CR 65  CL 50,6.25604422,-75.5810902,LAURELES,50,58,True
73,S-416,3,416,CR 65  CL 50,6.25604422,-75.5810902,LAURELES,50,47,False
74,S-416,4,416,CR 65  CL 50,6.25604422,-75.5810902,LAURELES,50,55,True
75,S-416,5,416,CR 65  CL 50,6.25604422,-75.5810902,LAURELES,50,73,True
76,S-416,6,416,CR 65  CL 50,6.25604422,-75.5810902,LAURELES,50,63,True
77,S-416,7,416,CR 65  CL 50,6.25604422,-75.5810902,LAURELES,50,39,False
78,S-416,8,416,CR 65  CL 50,6.25604422,-75.5810902,LAURELES,50,65,True
79,S-416,9,416,CR 65  CL 50,6.25604422,-75.5810902,LAURELES,50,43,False
80,S-416,10,416,CR 65  CL 50,6.25604422,-75.5810902,LAURELES,50,60,True
81,S-417,1,417,CR 65  CL 51,6.25658273,-75.580862,LAURELES,50,77,True
82,S-417,2,417,CR 65  CL 51,6.25658273,-75.580862,LAURELES,50,44,False
83,S-417,3,417,CR 65  CL 51,6.25658273,-75.580862,LAURELES,50,37,False
84,S-417,4,417,CR 65  CL 51,6.25658273,-75.580862,LAURELES,50,43,False
85,S-417,5,417,CR 65  CL 51,6.25658273,-75.580862,LAURELES,50,52,True
86,S-417,6,417,CR 65  CL 51,6.25658273,-75.580862,LAURELES,50,69,True
87,S-417,7,417,CR 65  CL 51,6.25658273,-75.580862,LAURELES,50,50,False
88,S-417,8,417,CR 65  CL 51,6.25658273,-75.580862,LAURELES,50,45,False
89,S-417,9,417,CR 65  CL 51,6.25658273,-75.580862,LAURELES,50,74,True
90,S-417,10,417,CR 65  CL 51,6.25658273,-75.580862,LAURELES,50,47,False
91,S-418,1,418,CR 65  CL 55,6.25856176,-75.58017758,LAURELES,50,76,True
92,S-418,2,418,CR 65  CL 55,6.25856176,-75.58017758,LAURELES,50,53,True
93,S-418,3,418,CR 65  CL 55,6.25856176,-75.58017758,LAURELES,50,55,True
94,S-418,4,418,CR 65  CL 55,6.25856176,-75.58017758,LAURELES,50,54,True
95,S-418,5,418,CR 65  CL 55,6.25856176,-75.58017758,LAURELES,50,74,True
96,S-418,6,418,CR 65  CL 55,6.25856176,-75.58017758,LAURELES,50,70,True
97,S-418,7,418,CR 65  CL 55,6.25856176,-75.58017758,LAURELES,50,58,True
98,S-418,8,418,CR 65  CL 55,6.25856176,-75.58017758,LAURELES,50,44,False
99,S-418,9,418,CR 65  CL 55,6.25856176,-75.58017758,LAURELES,50,74,True
100,S-418,10,418,CR 65  CL 55,6.25856176,-75.58017758,LAURELES,50,30,False
101,S-419,1,419,CR 65  CL 57,6.25886378,-75.57996076,LAURELES,50,54,True
102,S-419,2,419,CR 65  CL 57,6.25886378,-75.57996076,LAURELES,50,36,False
103,S-419,3,419,CR 65  CL 57,6.25886378,-75.57996076,LAURELES,50,38,False
104,S-419,4,419,CR 65  CL 57,6.25886378,-75.57996076,LAURELES,50,53,True
105,S-419,5,419,CR 65  CL 57,6.25886378,-75.57996076,LAURELES,50,30,False
106,S-419,6,419,CR 65  CL 57,6.25886378,-75.57996076,LAURELES,50,73,True
107,S-419,7,419,CR 65  CL 57,6.25886378,-75.57996076,LAURELES,50,37,False
108,S-419,8,419,CR 65  CL 57,6.25886378,-75.57996076,LAURELES,50,53,True
109,S-419,9,419,CR 65  CL 57,6.25886378,-75.57996076,LAURELES,50,40,False
110,S-419,10,419,CR 65  CL 57,6.25886378,-75.57996076,LAURELES,50,80,True
111,S-421,1,421,CR 65  CL 80,6.27639417,-75.57347015,,50,46,False
112,S-421,2,421,CR 65  CL 80,6.27639417,-75.57347015,,50,37,False
113,S-421,3,421,CR 65  CL 80,6.27639417,-75.57347015,,50,64,True
114,S-421,4,421,CR 65  CL 80,6.27639417,-75.57347015,,50,64,True
115,S-421,5,421,CR 65  CL 80,6.27639417,-75.57347015,,50,62,True
116,S-421,6,421,CR 65  CL 80,6.27639417,-75.57347015,,50,34,False
117,S-421,7,421,CR 65  CL 80,6.27639417,-75.57347015,,50,71,True
118,S-421,8,421,CR 65  CL 80,6.27639417,-75.57347015,,50,68,True
119,S-421,9,421,CR 65  CL 80,6.27639417,-75.57347015,,50,70,True
120,S-421,10,421,CR 65  CL 80,6.27639417,-75.57347015,,50,57,True
121,S-422,1,422,CR 65  CL 81 - ANFITEATRO,6.27859847,-75.57278334,CASTILLA,50,36,False
122,S-422,2,422,CR 65  CL 81 - ANFITEATRO,6.27859847,-75.57278334,CASTILLA,50,38,False
123,S-422,3,422,CR 65  CL 81 - ANFITEATRO,6.27859847,-75.57278334,CASTILLA,50,37,False
124,S-422,4,422,CR 65  CL 81 - ANFITEATRO,6.27859847,-75.57278334,CASTILLA,50,41,False
125,S-422,5,422,CR 65  CL 81 - ANFITEATRO,6.27859847,-75.57278334,CASTILLA,50,63,True
126,S-422,6,422,CR 65  CL 81 - ANFITEATRO,6.27859847,-75.57278334,CASTILLA,50,62,True
127,S-422,7,422,CR 65  CL 81 - ANFITEATRO,6.27859847,-75.57278334,CASTILLA,50,77,True
128,S-422,8,422,CR 65  CL 81 - ANFITEATRO,6.27859847,-75.57278334,CASTILLA,50,52,True
129,S-422,9,422,CR 65  CL 81 - ANFITEATRO,6.27859847,-75.57278334,CASTILLA,50,53,True
130,S-422,10,422,CR 65  CL 81 - ANFITEATRO,6.27859847,-75.57278334,CASTILLA,50,66,True
131,S-423,1,423,CR 65  CL 89,6.28228814,-75.57207466,CASTILLA,50,64,True
132,S-423,2,423,CR 65  CL 89,6.28228814,-75.57207466,CASTILLA,50,73,True
133,S-423,3,423,CR 65  CL 89,6.28228814,-75.57207466,CASTILLA,50,69,True
134,S-423,4,423,CR 65  CL 89,6.28228814,-75.57207466,CASTILLA,50,51,True
135,S-423,5,423,CR 65  CL 89,6.28228814,-75.57207466,CASTILLA,50,56,True
136,S-423,6,423,CR 65  CL 89,6.28228814,-75.57207466,CASTILLA,50,64,True
137,S-423,7,423,CR 65  CL 89,6.28228814,-75.57207466,CASTILLA,50,30,False
138,S-423,8,423,CR 65  CL 89,6.28228814,-75.57207466,CASTILLA,50,64,True
139,S-423,9,423,CR 65  CL 89,6.28228814,-75.57207466,CASTILLA,50,66,True
140,S-423,10,423,CR 65  CL 89,6.28228814,-75.57207466,CASTILLA,50,76,True
141,S-424,1,424,CR 65  CL 91 C,6.2835787,-75.5717042,CASTILLA,50,43,False
142,S-424,2,424,CR 65  CL 91 C,6.2835787,-75.5717042,CASTILLA,50,32,False
143,S-424,3,424,CR 65  CL 91 C,6.2835787,-75.5717042,CASTILLA,50,30,False
144,S-424,4,424,CR 65  CL 91 C,6.2835787,-75.5717042,CASTILLA,50,34,False
145,S-424,5,424,CR 65  CL 91 C,6.2835787,-75.5717042,CASTILLA,50,55,True
146,S-424,6,424,CR 65  CL 91 C,6.2835787,-75.5717042,CASTILLA,50,43,False
147,S-424,7,424,CR 65  CL 91 C,6.2835787,-75.5717042,CASTILLA,50,68,True
148,S-424,8,424,CR 65  CL 91 C,6.2835787,-75.5717042,CASTILLA,50,56,True
149,S-424,9,424,CR 65  CL 91 C,6.2835787,-75.5717042,CASTILLA,50,38,False
150,S-424,10,424,CR 65  CL 91 C,6.2835787,-75.5717042,CASTILLA,50,44,False
151,S-425,1,425,CR 65  CL 93,6.28645381,-75.57041738,CASTILLA,50,44,False
152,S-425,2,425,CR 65  CL 93,6.28645381,-75.57041738,CASTILLA,50,55,True
153,S-425,3,425,CR 65  CL 93,6.28645381,-75.57041738,CASTILLA,50,71,True
154,S-425,4,425,CR 65  CL 93,6.28645381,-75.57041738,CASTILLA,50,42,False
155,S-425,5,425,CR 65  CL 93,6.28645381,-75.57041738,CASTILLA,50,80,True
156,S-425,6,425,CR 65  CL 93,6.28645381,-75.57041738,CASTILLA,50,61,True
157,S-425,7,425,CR 65  CL 93,6.28645381,-75.57041738,CASTILLA,50,68,True
158,S-425,8,425,CR 65  CL 93,6.28645381,-75.57041738,CASTILLA,50,78,True
159,S-425,9,425,CR 65  CL 93,6.28645381,-75.57041738,CASTILLA,50,61,True
160,S-425,10,425,CR 65  CL 93,6.28645381,-75.57041738,CASTILLA,50,33,False
161,S-426,1,426,CR 65  CL 96,6.29040674,-75.56986121,CASTILLA,50,59,True
162,S-426,2,426,CR 65  CL 96,6.29040674,-75.56986121,CASTILLA,50,66,True
163,S-426,3,426,CR 65  CL 96,6.29040674,-75.56986121,CASTILLA,50,52,True
164,S-426,4,426,CR 65  CL 96,6.29040674,-75.56986121,CASTILLA,50,68,True
165,S-426,5,426,CR 65  CL 96,6.29040674,-75.56986121,CASTILLA,50,74,True
166,S-426,6,426,CR 65  CL 96,6.29040674,-75.56986121,CASTILLA,50,44,False
167,S-426,7,426,CR 65  CL 96,6.29040674,-75.56986121,CASTILLA,50,72,True
168,S-426,8,426,CR 65  CL 96,6.29040674,-75.56986121,CASTILLA,50,58,True
169,S-426,9,426,CR 65  CL 96,6.29040674,-75.56986121,CASTILLA,50,65,True
170,S-426,10,426,CR 65  CL 96,6.29040674,-75.56986121,CASTILLA,50,42,False
171,S-427,1,427,CR 65  CL 97,6.29164727,-75.56957802,CASTILLA,50,61,True
172,S-427,2,427,CR 65  CL 97,6.29164727,-75.56957802,CASTILLA,50,36,False
173,S-427,3,427,CR 65  CL 97,6.29164727,-75.56957802,CASTILLA,50,80,True
174,S-427,4,427,CR 65  CL 97,6.29164727,-75.56957802,CASTILLA,50,51,True
175,S-427,5,427,CR 65  CL 97,6.29164727,-75.56957802,CASTILLA,50,57,True
176,S-427,6,427,CR 65  CL 97,6.29164727,-75.56957802,CASTILLA,50,31,False
177,S-427,7,427,CR 65  CL 97,6.29164727,-75.56957802,CASTILLA,50,71,True
178,S-427,8,427,CR 65  CL 97,6.29164727,-75.56957802,CASTILLA,50,74,True
179,S-427,9,427,CR 65  CL 97,6.29164727,-75.56957802,CASTILLA,50,35,False
180,S-427,10,427,CR 65  CL 97,6.29164727,-75.56957802,CASTILLA,50,57,True
181,S-428,1,428,CR 65  CL 98,6.2930559,-75.56921922,CASTILLA,50,57,True
182,S-428,2,428,CR 65  CL 98,6.2930559,-75.56921922,CASTILLA,50,73,True
183,S-428,3,428,CR 65  CL 98,6.2930559,-75.56921922,CASTILLA,50,73,True
184,S-428,4,428,CR 65  CL 98,6.2930559,-75.56921922,CASTILLA,50,49,False
185,S-428,5,428,CR 65  CL 98,6.2930559,-75.56921922,CASTILLA,50,59,True
186,S-428,6,428,CR 65  CL 98,6.2930559,-75.56921922,CASTILLA,50,40,False
187,S-428,7,428,CR 65  CL 98,6.2930559,-75.56921922,CASTILLA,50,57,True
188,S-428,8,428,CR 65  CL 98,6.2930559,-75.56921922,CASTILLA,50,54,True
189,S-428,9,428,CR 65  CL 98,6.2930559,-75.56921922,CASTILLA,50,68,True
190,S-428,10,428,CR 65  CL 98,6.2930559,-75.56921922,CASTILLA,50,62,True
191,S-429,1,429,CR 65  CL 98 A,6.29399264,-75.56875561,CASTILLA,50,30,False
192,S-429,2,429,CR 65  CL 98 A,6.29399264,-75.56875561,CASTILLA,50,56,True
193,S-429,3,429,CR 65  CL 98 A,6.29399264,-75.56875561,CASTILLA,50,42,False
194,S-429,4,429,CR 65  CL 98 A,6.29399264,-75.56875561,CASTILLA,50,70,True
195,S-429,5,429,CR 65  CL 98 A,6.29399264,-75.56875561,CASTILLA,50,32,False
196,S-429,6,429,CR 65  CL 98 A,6.29399264,-75.56875561,CASTILLA,50,68,True
197,S-429,7,429,CR 65  CL 98 A,6.29399264,-75.56875561,CASTILLA,50,35,False
198,S-429,8,429,CR 65  CL 98 A,6.29399264,-75.56875561,CASTILLA,50,37,False
199,S-429,9,429,CR 65  CL 98 A,6.29399264,-75.56875561,CASTILLA,50,56,True
200,S-429,10,429,CR 65  CL 98 A,6.29399264,-75.56875561,CASTILLA,50,38,False
201,S-432,1,432,CR 65  TV 78,6.27538842,-75.57374384,CASTILLA,50,66,True
202,S-432,2,432,CR 65  TV 78,6.27538842,-75.57374384,CASTILLA,50,62,True
203,S-432,3,432,CR 65  TV 78,6.27538842,-75.57374384,CASTILLA,50,80,True
204,S-432,4,432,CR 65  TV 78,6.27538842,-75.57374384,CASTILLA,50,71,True
205,S-432,5,432,CR 65  TV 78,6.27538842,-75.57374384,CASTILLA,50,73,True
206,S-432,6,432,CR 65  TV 78,6.27538842,-75.57374384,CASTILLA,50,53,True
207,S-432,7,432,CR 65  TV 78,6.27538842,-75.57374384,CASTILLA,50,44,False
208,S-432,8,432,CR 65  TV 78,6.27538842,-75.57374384,CASTILLA,50,61,True
209,S-432,9,432,CR 65  TV 78,6.27538842,-75.57374384,CASTILLA,50,61,True
210,S-432,10,432,CR 65  TV 78,6.27538842,-75.57374384,CASTILLA,50,53,True
211,S-436,1,436,CR 66 A  CL 49 BPEATONAL EXITO,6.25621862,-75.58274391,LAURELES,50,70,True
212,S-436,2,436,CR 66 A  CL 49 BPEATONAL EXITO,6.25621862,-75.58274391,LAURELES,50,78,True
213,S-436,3,436,CR 66 A  CL 49 BPEATONAL EXITO,6.25621862,-75.58274391,LAURELES,50,78,True
214,S-436,4,436,CR 66 A  CL 49 BPEATONAL EXITO,6.25621862,-75.58274391,LAURELES,50,41,False
215,S-436,5,436,CR 66 A  CL 49 BPEATONAL EXITO,6.25621862,-75.58274391,LAURELES,50,68,True
216,S-436,6,436,CR 66 A  CL 49 BPEATONAL EXITO,6.25621862,-75.58274391,LAURELES,50,31,False
217,S-436,7,436,CR 66 A  CL 49 BPEATONAL EXITO,6.25621862,-75.58274391,LAURELES,50,32,False
218,S-436,8,436,CR 66 A  CL 49 BPEATONAL EXITO,6.25621862,-75.58274391,LAURELES,50,78,True
219,S-436,9,436,CR 66 A  CL 49 BPEATONAL EXITO,6.25621862,-75.58274391,LAURELES,50,66,True
220,S-436,10,436,CR 66 A  CL 49 BPEATONAL EXITO,6.25621862,-75.58274391,LAURELES,50,78,True
221,S-437,1,437,CR 66 B  CL 30,6.23163471,-75.58728514,,50,46,False
222,S-437,2,437,CR 66 B  CL 30,6.23163471,-75.58728514,,50,78,True
223,S-437,3,437,CR 66 B  CL 30,6.23163471,-75.58728514,,50,31,False
224,S-437,4,437,CR 66 B  CL 30,6.23163471,-75.58728514,,50,31,False
225,S-437,5,437,CR 66 B  CL 30,6.23163471,-75.58728514,,50,57,True
226,S-437,6,437,CR 66 B  CL 30,6.23163471,-75.58728514,,50,52,True
227,S-437,7,437,CR 66 B  CL 30,6.23163471,-75.58728514,,50,66,True
228,S-437,8,437,CR 66 B  CL 30,6.23163471,-75.58728514,,50,61,True
229,S-437,9,437,CR 66 B  CL 30,6.23163471,-75.58728514,,50,62,True
230,S-437,10,437,CR 66 B  CL 30,6.23163471,-75.58728514,,50,30,False
231,S-438,1,438,CR 66 B  CL 30 A,6.23242494,-75.58730864,BELEN,50,48,False
232,S-438,2,438,CR 66 B  CL 30 A,6.23242494,-75.58730864,BELEN,50,31,False
233,S-438,3,438,CR 66 B  CL 30 A,6.23242494,-75.58730864,BELEN,50,73,True
234,S-438,4,438,CR 66 B  CL 30 A,6.23242494,-75.58730864,BELEN,50,55,True
235,S-438,5,438,CR 66 B  CL 30 A,6.23242494,-75.58730864,BELEN,50,61,True
236,S-438,6,438,CR 66 B  CL 30 A,6.23242494,-75.58730864,BELEN,50,35,False
237,S-438,7,438,CR 66 B  CL 30 A,6.23242494,-75.58730864,BELEN,50,61,True
238,S-438,8,438,CR 66 B  CL 30 A,6.23242494,-75.58730864,BELEN,50,33,False
239,S-438,9,438,CR 66 B  CL 30 A,6.23242494,-75.58730864,BELEN,50,40,False
240,S-438,10,438,CR 66 B  CL 30 A,6.23242494,-75.58730864,BELEN,50,46,False
241,S-440,1,440,CR 66 B  CL 32 FSur,6.23816165,-75.58746491,BELEN,50,67,True
242,S-440,2,440,CR 66 B  CL 32 FSur,6.23816165,-75.58746491,BELEN,50,53,True
243,S-440,3,440,CR 66 B  CL 32 FSur,6.23816165,-75.58746491,BELEN,50,34,False
244,S-440,4,440,CR 66 B  CL 32 FSur,6.23816165,-75.58746491,BELEN,50,63,True
245,S-440,5,440,CR 66 B  CL 32 FSur,6.23816165,-75.58746491,BELEN,50,35,False
246,S-440,6,440,CR 66 B  CL 32 FSur,6.23816165,-75.58746491,BELEN,50,51,True
247,S-440,7,440,CR 66 B  CL 32 FSur,6.23816165,-75.58746491,BELEN,50,40,False
248,S-440,8,440,CR 66 B  CL 32 FSur,6.23816165,-75.58746491,BELEN,50,77,True
249,S-440,9,440,CR 66 B  CL 32 FSur,6.23816165,-75.58746491,BELEN,50,45,False
250,S-440,10,440,CR 66 B  CL 32 FSur,6.23816165,-75.58746491,BELEN,50,62,True
251,S-439,1,439,CR 66 B  CL 32 FNorte,6.23871648,-75.58746493,BELEN,50,38,False
252,S-439,2,439,CR 66 B  CL 32 FNorte,6.23871648,-75.58746493,BELEN,50,35,False
253,S-439,3,439,CR 66 B  CL 32 FNorte,6.23871648,-75.58746493,BELEN,50,45,False
254,S-439,4,439,CR 66 B  CL 32 FNorte,6.23871648,-75.58746493,BELEN,50,58,True
255,S-439,5,439,CR 66 B  CL 32 FNorte,6.23871648,-75.58746493,BELEN,50,32,False
256,S-439,6,439,CR 66 B  CL 32 FNorte,6.23871648,-75.58746493,BELEN,50,49,False
257,S-439,7,439,CR 66 B  CL 32 FNorte,6.23871648,-75.58746493,BELEN,50,65,True
258,S-439,8,439,CR 66 B  CL 32 FNorte,6.23871648,-75.58746493,BELEN,50,48,False
259,S-439,9,439,CR 66 B  CL 32 FNorte,6.23871648,-75.58746493,BELEN,50,55,True
260,S-439,10,439,CR 66 B  CL 32 FNorte,6.23871648,-75.58746493,BELEN,50,32,False
261,S-443,1,443,CR 67  CL 104,6.30104703,-75.56727631,CASTILLA,50,48,False
262,S-443,2,443,CR 67  CL 104,6.30104703,-75.56727631,CASTILLA,50,49,False
263,S-443,3,443,CR 67  CL 104,6.30104703,-75.56727631,CASTILLA,50,61,True
264,S-443,4,443,CR 67  CL 104,6.30104703,-75.56727631,CASTILLA,50,36,False
265,S-443,5,443,CR 67  CL 104,6.30104703,-75.56727631,CASTILLA,50,70,True
266,S-443,6,443,CR 67  CL 104,6.30104703,-75.56727631,CASTILLA,50,62,True
267,S-443,7,443,CR 67  CL 104,6.30104703,-75.56727631,CASTILLA,50,69,True
268,S-443,8,443,CR 67  CL 104,6.30104703,-75.56727631,CASTILLA,50,68,True
269,S-443,9,443,CR 67  CL 104,6.30104703,-75.56727631,CASTILLA,50,47,False
270,S-443,10,443,CR 67  CL 104,6.30104703,-75.56727631,CASTILLA,50,69,True
271,S-444,1,444,CR 67  CL 49 B,6.25647987,-75.58324192,LAURELES,50,30,False
272,S-444,2,444,CR 67  CL 49 B,6.25647987,-75.58324192,LAURELES,50,40,False
273,S-444,3,444,CR 67  CL 49 B,6.25647987,-75.58324192,LAURELES,50,57,True
274,S-444,4,444,CR 67  CL 49 B,6.25647987,-75.58324192,LAURELES,50,54,True
275,S-444,5,444,CR 67  CL 49 B,6.25647987,-75.58324192,LAURELES,50,79,True
276,S-444,6,444,CR 67  CL 49 B,6.25647987,-75.58324192,LAURELES,50,52,True
277,S-444,7,444,CR 67  CL 49 B,6.25647987,-75.58324192,LAURELES,50,60,True
278,S-444,8,444,CR 67  CL 49 B,6.25647987,-75.58324192,LAURELES,50,59,True
279,S-444,9,444,CR 67  CL 49 B,6.25647987,-75.58324192,LAURELES,50,71,True
280,S-444,10,444,CR 67  CL 49 B,6.25647987,-75.58324192,LAURELES,50,64,True
281,S-445,1,445,CR 67  CL 50,6.25702328,-75.58291592,LAURELES,50,36,False
282,S-445,2,445,CR 67  CL 50,6.25702328,-75.58291592,LAURELES,50,45,False
283,S-445,3,445,CR 67  CL 50,6.25702328,-75.58291592,LAURELES,50,55,True
284,S-445,4,445,CR 67  CL 50,6.25702328,-75.58291592,LAURELES,50,77,True
285,S-445,5,445,CR 67  CL 50,6.25702328,-75.58291592,LAURELES,50,78,True
286,S-445,6,445,CR 67  CL 50,6.25702328,-75.58291592,LAURELES,50,31,False
287,S-445,7,445,CR 67  CL 50,6.25702328,-75.58291592,LAURELES,50,30,False
288,S-445,8,445,CR 67  CL 50,6.25702328,-75.58291592,LAURELES,50,77,True
289,S-445,9,445,CR 67  CL 50,6.25702328,-75.58291592,LAURELES,50,41,False
290,S-445,10,445,CR 67  CL 50,6.25702328,-75.58291592,LAURELES,50,34,False
291,S-446,1,446,CR 67  CL 51,6.25798605,-75.58358428,LAURELES,50,66,True
292,S-446,2,446,CR 67  CL 51,6.25798605,-75.58358428,LAURELES,50,61,True
293,S-446,3,446,CR 67  CL 51,6.25798605,-75.58358428,LAURELES,50,38,False
294,S-446,4,446,CR 67  CL 51,6.25798605,-75.58358428,LAURELES,50,70,True
295,S-446,5,446,CR 67  CL 51,6.25798605,-75.58358428,LAURELES,50,64,True
296,S-446,6,446,CR 67  CL 51,6.25798605,-75.58358428,LAURELES,50,48,False
