id_cruce,nombre_comuna,comuna,latitud,longitud,reporte_num,fecha_hora,velocidad_kmh,num_vehiculos
404,BELEN,16,6.232037,-75.582776,9,2026-09-19 16:31:00,20.0,4
404,BELEN,16,6.232037,-75.582776,10,2026-09-15 10:09:00,49.5,28
412,LAURELES,11,6.252715,-75.582557,1,2026-09-20 14:04:00,36.2,39
412,LAURELES,11,6.252715,-75.582557,2,2026-09-19 05:33:00,28.8,36
412,LAURELES,11,6.252715,-75.582557,3,2026-09-14 08:43:00,54.6,35
412,LAURELES,11,6.252715,-75.582557,4,2026-09-17 02:49:00,50.3,8
412,LAURELES,11,6.252715,-75.582557,5,2026-09-17 09:27:00,23.7,1
412,LAURELES,11,6.252715,-75.582557,6,2026-09-17 01:32:00,56.9,33
412,LAURELES,11,6.252715,-75.582557,7,2026-09-15 09:55:00,49.4,33
412,LAURELES,11,6.252715,-75.582557,8,2026-09-20 17:12:00,23.4,11
412,LAURELES,11,6.252715,-75.582557,9,2026-09-20 00:49:00,65.7,1
412,LAURELES,11,6.252715,-75.582557,10,2026-09-20 15:20:00,41.9,8
413,LAURELES,11,6.2532,-75.582427,1,2026-09-18 02:56:00,69.2,20
413,LAURELES,11,6.2532,-75.582427,2,2026-09-16 19:03:00,28.2,37
413,LAURELES,11,6.2532,-75.582427,3,2026-09-15 02:05:00,55.3,5
413,LAURELES,11,6.2532,-75.582427,4,2026-09-19 22:49:00,21.9,31
413,LAURELES,11,6.2532,-75.582427,5,2026-09-20 02:10:00,29.6,39
413,LAURELES,11,6.2532,-75.582427,6,2026-09-18 18:13:00,66.1,13
413,LAURELES,11,6.2532,-75.582427,7,2026-09-17 13:25:00,69.7,24
413,LAURELES,11,6.2532,-75.582427,8,2026-09-18 22:57:00,43.5,8
413,LAURELES,11,6.2532,-75.582427,9,2026-09-16 21:14:00,18.5,2
413,LAURELES,11,6.2532,-75.582427,10,2026-09-20 12:35:00,27.7,15
755,LAURELES,11,6.263237,-75.595806,1,2026-09-14 07:04:00,53.9,4
755,LAURELES,11,6.263237,-75.595806,2,2026-09-16 16:04:00,64.8,22
755,LAURELES,11,6.263237,-75.595806,3,2026-09-15 00:32:00,28.1,32
755,LAURELES,11,6.263237,-75.595806,4,2026-09-16 12:34:00,22.3,37
755,LAURELES,11,6.263237,-75.595806,5,2026-09-20 09:30:00,28.4,31
755,LAURELES,11,6.263237,-75.595806,6,2026-09-18 14:12:00,20.2,28
755,LAURELES,11,6.263237,-75.595806,7,2026-09-18 00:27:00,37.6,4
755,LAURELES,11,6.263237,-75.595806,8,2026-09-21 05:41:00,20.4,26
755,LAURELES,11,6.263237,-75.595806,9,2026-09-17 20:51:00,62.4,16
755,LAURELES,11,6.263237,-75.595806,10,2026-09-16 07:12:00,44.5,9
756,LAURELES,11,6.263016,-75.595909,1,2026-09-18 18:11:00,30.3,16
756,LAURELES,11,6.263016,-75.595909,2,2026-09-15 01:28:00,59.4,36
756,LAURELES,11,6.263016,-75.595909,3,2026-09-15 07:03:00,50.9,35
756,LAURELES,11,6.263016,-75.595909,4,2026-09-14 09:05:00,66.0,16
756,LAURELES,11,6.263016,-75.595909,5,2026-09-16 00:26:00,41.7,14
756,LAURELES,11,6.263016,-75.595909,6,2026-09-18 12:57:00,18.2,25
756,LAURELES,11,6.263016,-75.595909,7,2026-09-14 06:24:00,29.6,30
756,LAURELES,11,6.263016,-75.595909,8,2026-09-17 07:27:00,53.3,36
756,LAURELES,11,6.263016,-75.595909,9,2026-09-19 10:09:00,25.4,14
756,LAURELES,11,6.263016,-75.595909,10,2026-09-14 20:37:00,55.5,4
757,LAURELES,11,6.261923,-75.593335,1,2026-09-17 14:03:00,17.8,31
757,LAURELES,11,6.261923,-75.593335,2,2026-09-19 14:58:00,61.9,11
757,LAURELES,11,6.261923,-75.593335,3,2026-09-14 20:32:00,19.4,12
757,LAURELES,11,6.261923,-75.593335,4,2026-09-14 23:38:00,18.7,16
757,LAURELES,11,6.261923,-75.593335,5,2026-09-18 13:07:00,66.8,37
757,LAURELES,11,6.261923,-75.593335,6,2026-09-16 21:37:00,47.7,40
757,LAURELES,11,6.261923,-75.593335,7,2026-09-15 02:26:00,51.2,37
757,LAURELES,11,6.261923,-75.593335,8,2026-09-19 19:20:00,66.4,14
757,LAURELES,11,6.261923,-75.593335,9,2026-09-17 14:15:00,29.6,9
757,LAURELES,11,6.261923,-75.593335,10,2026-09-21 03:19:00,40.1,5
758,LAURELES,11,6.249905,-75.594572,1,2026-09-14 08:29:00,49.2,37
758,LAURELES,11,6.249905,-75.594572,2,2026-09-15 07:04:00,44.6,33
758,LAURELES,11,6.249905,-75.594572,3,2026-09-17 01:08:00,66.3,5
758,LAURELES,11,6.249905,-75.594572,4,2026-09-16 20:23:00,30.7,29
758,LAURELES,11,6.249905,-75.594572,5,2026-09-20 01:45:00,31.6,34
758,LAURELES,11,6.249905,-75.594572,6,2026-09-14 08:42:00,59.9,20
758,LAURELES,11,6.249905,-75.594572,7,2026-09-15 08:56:00,22.4,8
758,LAURELES,11,6.249905,-75.594572,8,2026-09-15 09:47:00,45.4,18
758,LAURELES,11,6.249905,-75.594572,9,2026-09-17 06:38:00,26.6,22
758,LAURELES,11,6.249905,-75.594572,10,2026-09-16 10:43:00,49.9,17
764,LAURELES,11,6.245014,-75.595206,1,2026-09-19 15:31:00,28.8,4
764,LAURELES,11,6.245014,-75.595206,2,2026-09-15 05:40:00,38.3,18
764,LAURELES,11,6.245014,-75.595206,3,2026-09-14 17:00:00,33.3,9
764,LAURELES,11,6.245014,-75.595206,4,2026-09-21 01:16:00,23.9,29
764,LAURELES,11,6.245014,-75.595206,5,2026-09-20 03:45:00,38.5,1
764,LAURELES,11,6.245014,-75.595206,6,2026-09-15 10:04:00,67.0,10
764,LAURELES,11,6.245014,-75.595206,7,2026-09-20 01:02:00,60.9,38
764,LAURELES,11,6.245014,-75.595206,8,2026-09-20 03:09:00,38.6,3
764,LAURELES,11,6.245014,-75.595206,9,2026-09-17 12:23:00,64.4,3
764,LAURELES,11,6.245014,-75.595206,10,2026-09-18 01:13:00,52.5,7
